,Position,AvgFinishes,Round,Year,CumulativePoints,TeamAvgFinish,TeamRollingAvg,PointsShifted
349,11.0,12.0,18,2024,4.0,15.5,8.5,4.0
350,12.0,15.0,18,2024,21.0,15.0,16.5,0.0
351,13.0,14.333333333333334,18,2024,5.0,15.0,13.833333333333334,0.0
352,14.0,18.0,18,2024,24.0,11.0,12.0,0.0
353,15.0,16.0,18,2024,0.0,15.5,15.666666666666666,0.0
354,16.0,16.333333333333332,18,2024,0.0,15.5,15.166666666666666,0.0
355,17.0,14.0,18,2024,8.0,15.0,14.0,0.0
356,18.0,13.666666666666666,18,2024,7.0,15.0,16.0,0.0
357,19.0,11.666666666666666,18,2024,6.0,14.0,11.666666666666666,1.0
358,20.0,10.0,18,2024,12.0,15.5,10.166666666666666,6.0
359,1.0,7.333333333333333,19,2024,231.0,1.5,7.333333333333333,10.0
360,2.0,6.333333333333333,19,2024,178.0,1.5,4.5,6.0
361,3.0,4.666666666666667,19,2024,307.0,5.0,7.666666666666667,18.0
362,4.0,3.3333333333333335,19,2024,270.0,4.5,2.1666666666666665,25.0
363,5.0,2.0,19,2024,225.0,4.5,2.8333333333333335,15.0
364,6.0,2.6666666666666665,19,2024,149.0,13.0,5.333333333333333,12.0
365,7.0,5.666666666666667,19,2024,131.0,5.0,5.666666666666667,1.0
366,8.0,7.666666666666667,19,2024,22.0,9.5,12.833333333333334,2.0
367,9.0,9.5,19,2024,0.0,11.5,15.5,10.5
368,10.0,10.0,19,2024,4.0,13.0,12.833333333333334,0.0
369,11.0,15.0,19,2024,6.0,9.5,12.5,0.0
370,12.0,15.666666666666666,19,2024,8.0,15.0,14.5,0.0
371,13.0,14.666666666666666,19,2024,62.0,14.0,11.5,4.0
372,14.0,12.333333333333334,19,2024,21.0,11.5,13.833333333333334,0.0
373,15.0,11.333333333333334,19,2024,24.0,14.0,12.0,0.0
374,16.0,15.333333333333334,19,2024,12.0,13.0,14.666666666666666,0.0
375,17.0,16.666666666666668,19,2024,0.0,18.0,15.333333333333334,0.0
376,18.0,16.333333333333332,19,2024,5.0,15.0,15.0,0.0
377,19.0,14.666666666666666,19,2024,0.0,18.0,16.333333333333332,0.0
378,20.0,11.333333333333334,19,2024,164.0,13.0,7.666666666666667,8.0
